taxon_name,threatened,native,rl_cat,seedmass,dispersal_mode,dispersal_distance,germination_freq_mean,termvel_mean,most_frequent_seed_str,most_frequent_diaspore_type,most_frequent_seedbank_type,mean_seedbank_index
Onopordum acanthium,no,native,*,10.2246666666666,Myrmecochory,3,90,2.49,No appendages,generative dispersule,long-term persistent,0.9285714285714286
Onosma arenaria,yes,native,1,3.4242,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Ophioglossum vulgatum,yes,native,3,NA,Anemochory,5,NA,NA,NA,NA,NA,NA
Ophrys apifera,no,native,*,0.0011144,Anemochory,5,100,NA,Balloon structures,generative dispersule,NA,NA
Ophrys insectifera,yes,native,3,NA,Anemochory,5,90,NA,Balloon structures,generative dispersule,NA,NA
Ophrys sphegodes subsp. araneola,yes,native,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ophrys sphegodes,yes,native,2,0.0028036,Anemochory,5,90,NA,NA,NA,NA,NA
Orchis anthropophora,yes,native,3,9.23e-4,Anemochory,5,94.5,NA,NA,NA,NA,NA
Anacamptis coriophora,yes,native,1,NA,Anemochory,5,NA,NA,NA,NA,NA,NA
Orchis mascula,no,native,V,0.0010525,Anemochory,5,88.33333333333333,NA,Balloon structures,generative dispersule,NA,NA
Orchis militaris,yes,native,3,0.001,Anemochory,5,100,NA,Balloon structures,generative dispersule,NA,NA
Anacamptis morio,yes,native,2,0.00309,Anemochory,5,89.33333333333333,NA,NA,NA,NA,NA
Orchis pallens,yes,native,3,0.002,Anemochory,3,NA,NA,NA,NA,NA,NA
Anacamptis palustris,yes,native,1,NA,Anemochory,5,67,NA,NA,NA,NA,NA
Orchis purpurea,no,native,V,6.74e-4,Anemochory,3,70.5,NA,Balloon structures,generative dispersule,NA,NA
Anacamptis pyramidalis,yes,native,3,7.26e-4,Anemochory,5,98,NA,Balloon structures,generative dispersule,NA,NA
Orchis simia,yes,native,2,NA,Anemochory,5,84,NA,NA,NA,NA,NA
Orchis spitzelii,yes,native,0,NA,Anemochory,5,NA,NA,NA,NA,NA,NA
Neotinea tridentata,yes,native,3,NA,Anemochory,5,NA,NA,NA,NA,NA,NA
Neotinea ustulata,yes,native,2,NA,Anemochory,5,83.33333333333333,NA,NA,NA,NA,NA
Oreochloa disticha,no,native,R,0.3728,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Origanum vulgare,no,native,*,0.0904499999999999,Local non-specific dispersal,2,100,2,No appendages,generative dispersule,transient,0.25
Orlaya grandiflora,yes,native,1,11.9265,Local non-specific dispersal,2,NA,NA,Elongated appendages,generative dispersule,NA,NA
Ornithogalum boucheanum,no,established non-native,nb,NA,Myrmecochory,3,NA,NA,NA,NA,NA,NA
Ornithogalum nutans,no,established non-native,nb,5.96,Myrmecochory,3,NA,4.9,No appendages,generative dispersule,NA,NA
Ornithogalum pyrenaicum,yes,native,3,7.05449999999999,Local non-specific dispersal,2,81.66666666666667,NA,No appendages,generative dispersule,NA,NA
Ornithopus perpusillus,no,native,*,1.338,Local non-specific dispersal,1,100,1.6,No appendages,generative dispersule,transient,0.15384615384615385
Ornithopus sativus,no,established non-native,nb,3.30499999999999,Local non-specific dispersal,2,100,NA,No appendages,generative dispersule,NA,NA
Orobanche alba,yes,native,2,0.004,Anemochory,5,NA,NA,No appendages,generative dispersule,NA,NA
Orobanche alsatica,yes,native,2,NA,Anemochory,5,NA,NA,No appendages,generative dispersule,NA,NA
Orobanche bartlingii,yes,native,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobanche alsatica subsp. mayeri,yes,native,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobanche amethystea,yes,native,2,0.0027344,Anemochory,5,NA,NA,No appendages,generative dispersule,NA,NA
Orobanche arenaria,yes,native,2,0.01,Anemochory,5,NA,NA,NA,NA,NA,NA
Orobanche artemisiae-campestris,yes,native,2,0.00536666666666667,Anemochory,5,NA,NA,NA,NA,NA,NA
Orobanche purpurea subsp. bohemica,yes,native,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobanche caryophyllacea,yes,native,3,0.00787865,Anemochory,5,NA,NA,No appendages,generative dispersule,NA,NA
Orobanche coerulescens,yes,native,1,NA,Anemochory,5,NA,NA,NA,NA,NA,NA
Orobanche elatior,yes,native,3,0.00275,Anemochory,5,NA,NA,No appendages,generative dispersule,NA,NA
Orobanche flava,yes,native,3,0.00609999999999999,Anemochory,5,NA,NA,NA,NA,NA,NA
Orobanche gracilis,yes,native,3,0.032,Anemochory,5,NA,NA,No appendages,generative dispersule,NA,NA
Orobanche hederae,yes,native,3,0.00645,Anemochory,3,NA,0.49,No appendages,generative dispersule,NA,NA
Orobanche centaurina,no,native,R,NA,Anemochory,NA,NA,NA,NA,NA,NA,NA
Orobanche lutea,yes,native,3,0.00277333333333333,Anemochory,5,NA,NA,No appendages,generative dispersule,NA,NA
Orobanche minor,yes,native,3,0.0102625,Anemochory,5,91,NA,No appendages,generative dispersule,NA,NA
Orobanche picridis,yes,native,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobanche purpurea,yes,native,3,0.0092996,Anemochory,5,NA,NA,NA,NA,NA,NA
Orobanche ramosa,yes,native,2,0.0054,Anemochory,5,NA,NA,NA,NA,NA,NA
Orobanche rapum-genistae,yes,native,3,0.00532,Anemochory,5,NA,NA,No appendages,generative dispersule,NA,NA
Orobanche reticulata,yes,native,3,NA,Anemochory,5,NA,NA,No appendages,generative dispersule,transient,0
Orobanche lucorum,yes,native,2,0.006,Anemochory,5,NA,NA,NA,NA,NA,NA
Orobanche salviae,yes,native,2,NA,Anemochory,3,NA,NA,No appendages,generative dispersule,NA,NA
Orobanche teucrii,yes,native,3,NA,Anemochory,5,NA,NA,No appendages,generative dispersule,NA,NA
Orthilia secunda,no,native,V,0.009,Anemochory,3,NA,NA,NA,NA,transient,0
Osmunda regalis,yes,native,3,0.04,Anemochory,3,NA,NA,NA,NA,NA,NA
Oxalis acetosella,no,native,*,1.0305,Local non-specific dispersal,1,NA,3.13,No appendages,generative dispersule,transient,0.09375
Oxalis corniculata,no,native,*,0.2028,Local non-specific dispersal,1,NA,NA,No appendages,generative dispersule,short-term persistent,0.5
Oxalis decaphylla,no,established non-native,nb,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis dillenii,no,established non-native,nb,0.19,Local non-specific dispersal,1,93,NA,NA,NA,NA,NA
Oxalis stricta,no,established non-native,nb,0.184,Local non-specific dispersal,1,NA,NA,No appendages,generative dispersule,short-term persistent,0.42857142857142855
Mirabilis nyctaginea,no,established non-native,nb,NA,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Oxyria digyna,no,native,*,0.832311,Local non-specific dispersal,1,NA,3.02,Elongated appendages,generative dispersule,transient,0
Oxytropis montana,no,native,*,3.2397,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Oxytropis pilosa,yes,native,2,1.152,Local non-specific dispersal,1,100,NA,No appendages,generative dispersule,NA,NA
Paeonia mascula,no,established non-native,nb,NA,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Paeonia officinalis,no,established non-native,nb,109.319612516666,Local non-specific dispersal,2,90,5.06,No appendages,generative dispersule,NA,NA
Panicum capillare,no,established non-native,nb,0.3635,Local non-specific dispersal,2,NA,NA,Balloon structures,generative dispersule,NA,NA
Panicum dichotomiflorum,no,established non-native,nb,0.5195,Local non-specific dispersal,2,NA,NA,Balloon structures,generative dispersule,NA,NA
Panicum miliaceum,no,established non-native,nb,4.58006986666666,Local non-specific dispersal,2,NA,NA,No appendages,unknown,NA,NA
Papaver alpinum,yes,native,3,0.1431,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Roemeria argemone,no,native,*,0.1525,Local non-specific dispersal,1,82.5,2.399090909090909,No appendages,generative dispersule,transient,0.3333333333333333
Papaver cambricum,no,established non-native,nb,0.208666666666666,Local non-specific dispersal,2,96.5,NA,NA,NA,NA,NA
Papaver confine,no,native,*,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papaver dubium,no,native,*,0.1144,Local non-specific dispersal,2,94.66666666666667,2.52,No appendages,generative dispersule,transient,0.25
Roemeria sicula,yes,native,2,0.1262,Local non-specific dispersal,2,98.25,NA,No appendages,generative dispersule,transient,0
Papaver rhoeas,no,native,*,0.249311111111111,Local non-specific dispersal,2,83,1.975,No appendages,generative dispersule,transient,0.4537037037037037
Parapholis strigosa,yes,native,3,0.9112,Local non-specific dispersal,1,98,3.45,Balloon structures,generative dispersule,NA,NA
Parietaria judaica,no,native,*,0.226261904761904,Epizoochory,6,81,NA,No appendages,generative dispersule,NA,NA
Parietaria officinalis,no,native,V,0.450333333333333,Epizoochory,6,NA,NA,No appendages,generative dispersule,NA,NA
Parietaria pensylvanica,no,established non-native,nb,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paris quadrifolia,no,native,*,208.278933333333,Endozoochory,6,NA,4.64,Nutrient containing structures,generative dispersule,transient,0
Parnassia palustris,yes,native,3,0.033803,Local non-specific dispersal,1,78.8,0.8626086956521739,Flat appendages,generative dispersule,transient,0.05555555555555555
Parthenocissus quinquefolia,no,established non-native,nb,25.2,Local non-specific dispersal,2,NA,NA,NA,NA,short-term persistent,0.25
Pastinaca sativa,no,native,*,3.87771111111111,Local non-specific dispersal,2,93,2.55,Flat appendages,generative dispersule,transient,0.1935483870967742
Pedicularis foliosa,no,native,*,1.55819999999999,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Pedicularis oederi,no,native,R,1.27597446806666,Local non-specific dispersal,1,NA,NA,No appendages,generative dispersule,long-term persistent,0.5
Pedicularis palustris,yes,native,2,1.14605882352941,Local non-specific dispersal,2,94,3.3045454545454547,No appendages,generative dispersule,short-term persistent,0.3125
Pedicularis recutita,no,native,*,0.78,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Pedicularis rostratocapitata,no,native,*,1.18675,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Pedicularis rostratospicata,no,native,R,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Pedicularis sceptrum-carolinum,yes,native,2,0.377,Local non-specific dispersal,2,NA,1.39,NA,NA,NA,NA
Pedicularis sylvatica,yes,native,3,0.893537033333333,Local non-specific dispersal,1,NA,NA,No appendages,generative dispersule,transient,0
Pedicularis verticillata,no,native,R,0.80095,Local non-specific dispersal,1,NA,2.1856,NA,NA,transient,0.3333333333333333
Pentaglottis sempervirens,no,established non-native,nb,4.95,Myrmecochory,3,NA,NA,NA,NA,transient,0
Lythrum portula,no,native,V,0.0866,Epizoochory,6,100,1.1409090909090909,No appendages,generative dispersule,short-term persistent,0.6904761904761905
Persicaria amphibia,no,native,*,3.35224999999999,Epizoochory,6,NA,NA,NA,NA,NA,NA
Persicaria hydropiper,no,native,*,2.06853333333333,Local non-specific dispersal,2,100,NA,NA,NA,NA,NA
Persicaria lapathifolia,no,native,*,1.87,Local non-specific dispersal,2,54,NA,NA,NA,NA,NA
Persicaria maculosa,no,native,*,2.00476666666666,Local non-specific dispersal,2,94,NA,NA,NA,NA,NA
Persicaria minor,no,native,*,0.835499999999999,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Persicaria mitis,no,native,*,1.391,Local non-specific dispersal,2,NA,NA,NA,NA,transient,0.1875
Petasites albus,no,native,*,0.266333333333333,Anemochory,3,NA,NA,NA,NA,transient,0
Petasites hybridus,no,native,*,0.21019,Anemochory,5,100,0.28,No appendages,generative dispersule,transient,0
Petasites paradoxus,no,native,*,0.476,Anemochory,5,NA,NA,NA,NA,NA,NA
Petasites spurius,yes,native,3,NA,Anemochory,5,NA,NA,NA,NA,NA,NA
Petrocallis pyrenaica,no,native,*,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Petrorhagia prolifera,no,native,*,0.3353057143,Local non-specific dispersal,2,100,2.5063636363636363,No appendages,generative dispersule,transient,0
Petrorhagia saxifraga,yes,native,3,0.137584383333333,Local non-specific dispersal,1,100,NA,No appendages,generative dispersule,NA,NA
Peucedanum alsaticum,yes,native,3,1.32474999999999,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Peucedanum cervaria,no,native,V,4.87933333333333,Local non-specific dispersal,2,NA,2.77,NA,NA,transient,0
Peucedanum officinale,yes,native,3,6.31315,Local non-specific dispersal,2,89,2.8936363636363636,NA,NA,transient,0
Peucedanum oreoselinum,no,native,V,3.88866666666666,Local non-specific dispersal,2,NA,2.248333333333333,NA,NA,transient,0
Peucedanum ostruthium,no,native,*,1.51444444444444,Local non-specific dispersal,2,NA,1.5990909090909091,NA,NA,NA,NA
Peucedanum palustre,no,native,*,2.416,Local non-specific dispersal,2,75,NA,NA,NA,transient,0
Phalaris arundinacea,no,native,*,0.652637037,Local non-specific dispersal,2,96,NA,NA,NA,NA,NA
Phedimus spurius,no,established non-native,nb,NA,Local non-specific dispersal,1,NA,NA,No appendages,generative dispersule,transient,0
Phegopteris connectilis,no,native,*,NA,Anemochory,3,NA,NA,No appendages,generative dispersule,NA,NA
Phleum alpinum,no,native,*,0.399041666666666,Local non-specific dispersal,1,100,NA,Elongated appendages,generative dispersule,transient,0.07142857142857142
